author_id;text;retweet_count;reply_count;like_count;quote_count;id;created_at
37135856;Y pues hoy recibió su segunda dosis de la vacuna SINOVAC mi señora suegra. Todo bien, salvo que tuvieron que pedirle que cambiara de sede porque hubo un derrame de hidrocarburos en Ecatepec. Al final vacunaron bien en ambas sedes (la original y a dónde la enviaron).;0;0;1;0;1377076947088465920;2021-03-31T01:55:03.000Z
332653354;@AnaJVillagran Hay que ver qué es lo que están calificando, porque es una realidad que la CDMX a manejado mucho mejor el tema de la pandemia que el gobierno federal y que los hospitales temporales han sido un éxito y la vacunación está súper organizada comparada a otras entidades.;0;0;0;0;1377075444458135556;2021-03-31T01:49:05.000Z
126869922;Adiós COVID hola urgencias... fue un año divertido, ahora de regreso a donde empecé hace 1 año.;0;0;4;0;1377074267691511809;2021-03-31T01:44:24.000Z
1080091835526111232;💉⚠️ #Importante Anunciamos los cortes de circulación donde se ubican los 5 centros de #VacunaciónTlalnepantla.   ☑️ Toma tus precauciones y usa vías alternas. Juntos trabajamos por una #vacunación segura.   ➡️ Estos son los cierres: https://t.co/NDklEKFzAF  #NuestraCiudad https://t.co/zIMIzRL6h9;14;3;24;1;1377074175614017536;2021-03-31T01:44:02.000Z
4761519210;"@deniseramosm @latinus_us No le interesa vacunar a nadie. Solo utiliza la vacunacion con fines electorales. Y eso lo planeo desde que inició la pandemia. Recuerden aquello de ""nos cayó como anillo al dedo"". Morena es Basura. #NiUnVotoAMORENA2021";0;0;0;0;1377073639946784773;2021-03-31T01:41:55.000Z
278321958;Ojala se pudiera vacunar por telepatía para irme a mi casa en el puente. https://t.co/rfe6TNJS3M;0;0;2;0;1377072340522110978;2021-03-31T01:36:45.000Z
879471252;@latinus_us Pos como no. 180,000 adultos mayores muertos por covid, equivalen a (180000 x 12500) 2,250 millones de pesos ahorrados en pensiones.;0;1;0;0;1377072235148582915;2021-03-31T01:36:20.000Z
278321958;Si a la SS se le antoja todos mis puentes van a ser para Vacunación de toda la población. 🙃;0;0;0;0;1377072162079698946;2021-03-31T01:36:02.000Z
80235839;Nel, acá va a empezar esto de la vacunación cuando empiece Sheffield su campaña acá en León. https://t.co/AOK5oFu7Yr;0;0;0;0;1377072130672721923;2021-03-31T01:35:55.000Z
424456664;Veo que al vacunar en Benito Juárez y en Cuauhtémoc al fin vacunaron a las madres y padres de casi todos los influencers de Twitter. Qué bien!!;0;0;2;0;1377071695408766977;2021-03-31T01:34:11.000Z
138900020;Juntos en una aventura más... Hoy nos tocó la primera dosis de la vacuna contra Covid y pienso que ya es un avance en esta película de terror. Gracias, gracias, gracias 🙏🏼 #love #happyday #vacuna https://t.co/sVEYKDxu9T;0;0;0;0;1377070922968993794;2021-03-31T01:31:07.000Z
143151592;Creo que ya lo había recomendado... pero en verdad el mejor servicio y atención @bium_mx  #pcrtest #Covid_19mx https://t.co/rQZgmnuRpi;0;0;2;1;1377070063572946944;2021-03-31T01:27:42.000Z
333795246;Animal Político Los datos de @SSalud_mx a hoy:  - 202 mil 633 defunciones confirmadas. - 31 mil 865 casos activos estimados. - 885 mil 914 esquemas de vacunación completos. https://t.co/ZO4yFd9vJM;0;0;0;0;1377069789617733640;2021-03-31T01:26:37.000Z
66864712;Un verdadero des madre la organización en Puebla para vacunar adultos mayores. Una señora murió de un infarto. DEs información Para variar. https://t.co/WtOJl8cUla;0;0;0;0;1377069758504431623;2021-03-31T01:26:29.000Z
1142604343801237504;"@lilithorvis @JCarlos_Valerio Comprendo! Ahora imagínense la mala organización y a eso se le añade la aglomeración por no respetar horarios; por eso es un caos la vacunación.";0;0;0;0;1377069055446634497;2021-03-31T01:23:42.000Z
1276044292499308544;@GobChimalhuacan No bajemos la guardia y a seguirnos cuidando acude con tu familia a los módulos itinerantes para la realización de la prueba de #PCR y detectar a tiempo posibles pacientes con Covid 19;0;0;0;0;1377068765679083523;2021-03-31T01:22:33.000Z
2892817796;@andre4T1 @lopezobrador_ Andrea aún falta la segunda dosis, no se te olvidé y aún no ay pa cuando, además no es gracias a él, es su obligación vacunar al país, no solo a los adultos mayores. Te recuerdo que EU, YA A FIN DE ABRIL vacunará a 200 millones;0;2;14;0;1377068655180058627;2021-03-31T01:22:06.000Z
278321958;Hoy no voy a estudiar ni a hacer ejercicio, me siento super puteado después de la vacuna de ayer.;0;1;2;0;1377068547579518978;2021-03-31T01:21:41.000Z
4753906453;Si alguien piensa que la vacunación la están manejando electoralmente, solo Checa los resultados y tu decide por ti mismo? https://t.co/h8TnZME1Gv;0;0;2;0;1377068222701273089;2021-03-31T01:20:23.000Z
1056070805342216194;Oigan, ya en serio, como le hacen para salir con amigos y con mil personas más valiéndoles y que no les de ansiedad o sientan que ya les va a dar COVID o que van a contagiar a su familia ????;1;2;3;0;1377068155168755718;2021-03-31T01:20:07.000Z
545304625;Soñé que me vacunaban del covid;0;2;0;0;1377067271680446465;2021-03-31T01:16:36.000Z
1335674761091932166;⚠️ Una vez más, el exceso de mortalidad por covid-19 en México supera la realidad.  Según las actas de defunciones, la cifra de muertes es 60% mayor a las dadas a conocer oficialmente por la Secretaria de Salud, por arriba de las 320 mil. https://t.co/1WRX6JTc8Q;1;1;2;0;1377067156299481088;2021-03-31T01:16:09.000Z
307592380;Amo a la gente que anda en la playa en este Puente.. 👏🏼👏🏼👏🏼tendré más pacientes y más oportunidad de aprender 😬 #COVID19 gracias a todos por esforzarse;0;0;0;0;1377067128847745028;2021-03-31T01:16:02.000Z
2973955317;@MetepecGobierno cuantos días serán para la próxima segunda vacuna? Gracias;0;0;0;0;1377065446676004866;2021-03-31T01:09:21.000Z
2251045322;"@LDR14 @XitlallyconX @PepsiCenterWTC @vecinosnapoles @Seg_NapolesDF @LaNapolesCdMx @locatel_mx Si son donadas y un pésimo ""MAL"" gobierno  van a prolongar 855 días la vacunación.del 70% de los habitantes.... Pinocho y pinochito.";0;1;0;0;1377065146158305281;2021-03-31T01:08:10.000Z
555731919;Veremos más muertes por #COVID19 pronto...  https://t.co/ghTBhCe26b;0;0;1;0;1377064803831808004;2021-03-31T01:06:48.000Z
1080091835526111232;@Lezti_Chio Gracias por escribir. Te informamos que se vacunará a domicilio únicamente a personas con discapacidad que les sea imposible acudir a cualquiera de los 5 módulos de vacunación. Te pedimos nos envíes un mensaje directo para más información. Trabajamos por ti.;0;0;0;0;1377064558121062401;2021-03-31T01:05:49.000Z
78661031;Mi mamá no se quería vacunar, iba echando madres. Aún así ya la vacunaron https://t.co/YCPt8l9vfD;7;5;177;0;1377064344786235393;2021-03-31T01:04:59.000Z
119936790;Parte Covid hoy https://t.co/joYv3Q0MMO;4;1;17;0;1377063203604156417;2021-03-31T01:00:26.000Z
2973955317;@GabyGamboa_S disculpe alguien sabe cuándo será la segunda vacuna?;0;0;0;0;1377063188269821955;2021-03-31T01:00:23.000Z
111343965;@JesusRCuevas @lopezobrador_ La pregunta es por que tenemos que creer en tantas promesas si en 850 días no han trabajado y el país está SIN CRECIMIENTO ECONÓMICO, con 322,000 decesos por COVID19, con un incremento en feminicidio, en la violencia y cuando algo no les parece, quieren cambiar la constitución;1;0;11;0;1377062567714168837;2021-03-31T00:57:55.000Z
